order_id,user_id,order_date,order_status,total_amount
O00000001,U009310,2025-09-09 14:52:37.292731,Processing,689.66
O00013149,U008011,2024-09-19 22:20:21.826307,Returned,335.44
O00013147,U003626,2024-02-25 14:34:21.591014,Completed,42.91
O00013146,U009507,2025-10-21 00:46:34.069864,Cancelled,1033.52
O00013144,U005107,2024-05-26 02:45:27.046429,Returned,1707.82
O00013143,U004275,2024-07-29 12:37:54.586140,Completed,441.17
O00013142,U008080,2025-11-09 17:59:36.819448,Processing,4879.42
O00013141,U009157,2024-07-16 22:24:01.235618,Returned,4311.05
O00013140,U008431,2025-09-30 06:06:30.446970,Cancelled,800.95
O00013139,U001857,2025-09-19 11:12:13.404354,Completed,819.76
O00013138,U009641,2024-09-25 23:27:54.838538,Completed,71.4
O00013137,U008561,2024-08-01 09:07:56.631226,Shipped,1403.52
O00013136,U001889,2024-02-07 07:50:44.990056,Processing,897.97
O00013135,U002980,2024-04-11 21:54:06.432345,Processing,320.13
O00013134,U007239,2025-06-21 20:09:30.041882,Completed,159.29
O00013133,U004061,2025-04-19 05:17:57.181683,Processing,71.41
O00013132,U008093,2024-04-13 23:59:10.235506,Returned,140.3
O00013148,U006181,2024-11-28 07:07:06.843934,Shipped,7.56
O00013150,U007089,2025-10-31 11:21:34.218310,Shipped,56.32
O00013130,U001945,2024-09-20 06:44:38.000567,Processing,19.76
O00013152,U006928,2024-12-25 03:51:29.523010,Cancelled,23.87
O00013168,U004856,2024-10-11 04:30:29.410920,Cancelled,175.1
O00013166,U009315,2024-06-26 22:58:24.313539,Shipped,52.05
O00013165,U003796,2025-04-27 00:58:52.469379,Shipped,568.42
O00013164,U000441,2024-04-16 17:03:40.979148,Completed,730.49
O00013163,U007269,2025-05-02 12:08:54.765464,Processing,2705.26
O00013162,U003147,2024-02-05 10:32:04.565123,Processing,38.92
O00013161,U009216,2025-02-25 01:14:45.055341,Completed,468.94
O00013160,U005301,2025-06-21 03:27:17.379946,Completed,5.67
O00013159,U005530,2024-01-03 10:48:35.046699,Processing,51.33
O00013158,U006506,2025-06-11 09:05:49.048592,Shipped,735.91
O00013157,U000082,2025-06-25 06:06:21.711219,Completed,2302.94
O00013156,U000830,2025-06-15 21:58:54.523408,Shipped,113.67
O00013155,U009406,2025-07-05 19:25:24.716566,Cancelled,113.12
O00013154,U002192,2024-10-06 10:23:13.416113,Completed,824.25
O00013153,U008791,2025-08-01 22:13:37.522420,Completed,460.08
O00013131,U004906,2025-09-04 12:42:39.227670,Completed,973.57
O00013129,U003006,2025-04-20 17:20:54.862118,Completed,50.12
O00013170,U008967,2024-11-22 17:03:26.391474,Cancelled,501.71
O00013108,U009121,2024-10-18 11:20:58.116603,Shipped,8.47
O00013106,U008696,2024-12-05 07:11:48.486155,Returned,327.86
O00013105,U003266,2025-01-16 20:09:49.449359,Shipped,111.06
O00013104,U002376,2024-07-01 19:08:09.770154,Processing,238.05
O00013103,U006086,2025-01-20 09:31:24.582239,Cancelled,51.57
O00013102,U001254,2024-07-22 06:17:42.443967,Returned,294.72
O00013101,U006438,2025-02-24 02:05:05.295294,Shipped,22.15
O00013100,U005113,2025-09-24 02:24:37.408239,Returned,1885.2
O00013099,U005170,2025-05-06 04:36:10.544221,Returned,472.81
O00013098,U008214,2025-02-13 21:47:34.226045,Returned,444.15
O00013097,U002012,2025-02-15 10:42:21.567667,Shipped,3475.97
O00013096,U008428,2024-05-15 14:45:39.975844,Shipped,1399.27
O00013095,U002809,2025-08-10 05:22:03.252807,Cancelled,420.32
O00013094,U005621,2025-10-19 16:16:59.721437,Completed,912.6
O00013093,U004128,2024-10-29 11:00:48.695078,Completed,1217.05
O00013092,U005859,2024-12-29 15:40:17.652341,Completed,36.52
O00013107,U008276,2024-04-17 14:13:57.543298,Completed,482.45
O00013109,U001561,2024-10-01 08:28:00.424104,Cancelled,341.3
O00013128,U008656,2025-06-23 20:02:40.751626,Cancelled,1292.91
O00013110,U006699,2025-03-22 10:45:56.160587,Processing,388.22
O00013127,U009480,2024-12-19 02:37:55.670341,Cancelled,741.28
O00013126,U006174,2024-07-20 11:54:18.185195,Shipped,244.44
O00013125,U005328,2024-11-07 16:59:36.674845,Cancelled,172.54
O00013124,U005999,2024-04-18 06:25:05.982168,Shipped,602.43
O00013123,U009526,2024-12-21 04:46:12.464143,Completed,567.39
O00013122,U008711,2025-09-10 04:44:24.556570,Cancelled,492.41
O00013121,U000781,2024-09-04 03:41:07.531017,Processing,346.22
